iter	Passed	Remaining
0	410	205035
1	672	167335
2	996	165147
3	1283	159114
4	1578	156228
5	1848	152164
6	2086	146927
7	2379	146355
8	2662	145256
9	2968	145436
10	3104	137991
11	3378	137394
12	3701	138678
13	3931	136477
14	4311	139397
15	4627	139984
16	4936	140255
17	5151	137947
18	5335	135059
19	5617	134815
20	5878	134083
21	6062	131727
22	6348	131672
23	6519	129294
24	6753	128317
25	6902	125837
26	7000	122641
27	7365	124160
28	7628	123902
29	7887	123573
30	8199	124057
31	8619	126055
32	9034	127847
33	9419	129101
34	9793	130108
35	10095	130123
36	10403	130181
37	10951	133141
38	11337	134010
39	11834	136094
40	12134	135847
41	12455	135828
42	12879	136884
43	13360	138466
44	13716	138692
45	14012	138296
46	14261	137460
47	14617	137650
48	14800	136225
49	15054	135486
50	15235	134135
51	15566	134112
52	15923	134298
53	16340	134962
54	16587	134204
55	16875	133798
56	17206	133726
57	17489	133283
58	17933	134044
59	18285	134093
60	18872	135819
61	19272	136153
62	19538	135530
63	19770	134687
64	20057	134230
